satellite_id,timestamp,orbit_error_m,clock_error_ns,radial_error_m,ephemeris_age_hours
G15,2025-07-06 01:15:00,22707727.662480325,5710655.105547364,-9540083.373499708,0.75
G16,2025-07-06 01:15:00,49221646.05294573,11910868.40656643,-45404192.62629109,0.75
G17,2025-07-06 01:15:00,42404027.93715464,-23821709.06394538,-33543076.09806865,0.75
G18,2025-07-06 01:15:00,36466588.94968704,9300257.891071027,-24915160.183019783,0.75
G19,2025-07-06 01:15:00,37884253.10493669,4568539.501462402,-27295813.39899731,0.75
G20,2025-07-06 01:15:00,36405288.90308488,-163161.95335009508,-24865844.179682884,0.75
G21,2025-07-06 01:15:00,33161648.68868681,45522271.73908436,-20701633.985129837,0.75
G22,2025-07-06 01:15:00,39948365.27055067,1305326.0273426233,-29985478.514033344,0.75
G23,2025-07-06 01:15:00,52664114.006668024,8973928.905716158,-52359496.94758308,0.75
G24,2025-07-06 01:15:00,46872820.27660057,13216128.541282158,-41137128.55437471,0.75
G25,2025-07-06 01:15:00,41524053.97804676,-2121092.499434626,-32858815.183047354,0.7455555555555555
G26,2025-07-06 01:15:00,17763935.821276825,4894870.724833205,-5857934.989624114,0.75
G27,2025-07-06 01:15:00,15590731.441161102,489518.0309000111,-4734271.783994038,0.75
G28,2025-07-06 01:15:00,48691838.382457815,-4242218.484205419,-44637283.60427889,0.75
G29,2025-07-06 01:15:00,26014860.616548408,6852813.441041519,-12858271.727930082,0.75
G30,2025-07-06 01:15:00,35453162.83158768,14684586.894389583,-23446388.257820703,0.75
G31,2025-07-06 01:15:00,47155616.696023315,1957946.2182174362,-41864555.54698254,0.75
G32,2025-07-06 01:15:00,41616579.40748585,16805692.660433784,-32491281.168299157,0.75
G01,2025-07-06 01:30:00,42195743.06910963,12563491.813903617,-33517990.959933925,0.5
G02,2025-07-06 01:30:00,9720002.157324636,12889808.000226593,-2319263.6349821235,0.5
G03,2025-07-06 01:30:00,34991449.050990984,,-23195972.06937934,0.5
G04,2025-07-06 01:30:00,33775660.76447334,6037009.532628076,-21427159.44243426,0.5
G05,2025-07-06 01:30:00,34545579.18902807,-1305298.189196256,-22604379.677310143,0.4955555555555556
G06,2025-07-06 01:30:00,35352309.99055321,-23005882.70800599,-23542444.98416893,0.4955555555555556
G07,2025-07-06 01:30:00,39005886.56370372,-6200210.548507999,-28137771.46929518,0.4955555555555556
G08,2025-07-06 01:30:00,25540701.329733238,2121125.0078040585,-12644114.53350289,0.5
G09,2025-07-06 01:30:00,32936060.977568604,11584512.456408879,-20412056.242800415,0.5
G10,2025-07-06 01:30:00,47783316.141816966,-14684594.804093093,-43192704.75003274,0.5
G11,2025-07-06 01:30:00,12010793.481526515,12726659.850918142,-2784371.711733247,0.5
G12,2025-07-06 01:30:00,44322643.72211999,-1957926.164287619,-37136092.92771877,0.5
